               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10494,             0.25081,                   0,             0.18139,             0.43225,             0.16352,            0.045964,            0.087846,             0.52869,                   0,           0.0032759,           0.0032759,            0.070517
                   1,             0.07746,             0.26629,                   0,             0.29241,             0.58527,             0.26134,            0.073854,            0.076106,             0.20736,                   0,           0.0065438,           0.0065438,            0.040452
                   2,            0.066535,             0.26175,                   0,             0.45199,             0.65053,             0.46036,              0.1936,            0.061189,             0.17452,                   0,           0.0097457,           0.0097457,             0.01032
                   3,             0.05947,             0.25007,                   0,             0.77482,             0.64812,             0.71498,             0.27634,            0.056892,             0.14944,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.056356,             0.25259,                   0,             0.81109,             0.68827,             0.76353,             0.34819,            0.050429,             0.15231,                   0,            0.009703,            0.009703,            0.009703
                   5,             0.05502,             0.24797,                   0,             0.83231,             0.71541,             0.79911,             0.39308,            0.048615,             0.14547,                   0,            0.009604,            0.009604,            0.009604
                   6,            0.054182,             0.24721,                   0,             0.86022,              0.6937,             0.79395,             0.36692,            0.049881,              0.1454,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.053596,             0.24515,                   0,             0.83689,             0.70458,             0.78936,             0.35747,            0.050621,             0.14362,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.053111,             0.24459,                   0,             0.82276,             0.69409,             0.76738,             0.30986,            0.053121,             0.14528,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.052322,             0.24117,                   0,             0.79441,             0.66611,             0.73699,             0.28567,            0.055537,             0.14361,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.052252,             0.24115,                   0,             0.86035,             0.74878,             0.82952,             0.40941,            0.046752,             0.14097,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.051528,             0.24105,                   0,             0.86897,             0.73743,             0.82222,             0.39767,            0.047985,             0.13979,                   0,             0.00901,             0.00901,             0.00901
                  12,            0.051353,             0.24039,                   0,             0.86318,             0.74106,             0.82456,             0.39721,            0.047342,              0.1413,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.051566,             0.23857,                   0,             0.84034,             0.71114,             0.79251,             0.35913,            0.049844,             0.14336,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.051329,             0.24056,                   0,             0.87262,             0.73568,             0.83123,             0.40778,            0.046942,             0.13846,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.051533,             0.24378,                   0,             0.87066,             0.74604,             0.83342,              0.4188,            0.046353,              0.1401,                   0,            0.008614,            0.008614,            0.008614
                  16,            0.050775,             0.23925,                   0,             0.86517,             0.73071,             0.81959,             0.38112,            0.048281,             0.14014,                   0,            0.008515,            0.008515,            0.008515
                  17,             0.05081,             0.23865,                   0,             0.86433,             0.76384,              0.8404,             0.40554,            0.046311,             0.13992,                   0,            0.008416,            0.008416,            0.008416
                  18,             0.05078,              0.2423,                   0,             0.86039,             0.73583,             0.82123,             0.36914,            0.048841,             0.13916,                   0,            0.008317,            0.008317,            0.008317
                  19,            0.050455,             0.24084,                   0,             0.85318,             0.73245,             0.81422,             0.37362,            0.048942,             0.14078,                   0,            0.008218,            0.008218,            0.008218
                  20,             0.05044,             0.24017,                   0,             0.87234,             0.74506,             0.83603,             0.41351,            0.046238,             0.13791,                   0,            0.008119,            0.008119,            0.008119
                  21,            0.050378,             0.23982,                   0,             0.86797,             0.74208,              0.8287,             0.40771,            0.046241,             0.13865,                   0,             0.00802,             0.00802,             0.00802
                  22,            0.050056,             0.23824,                   0,             0.86828,             0.73414,             0.82434,             0.38893,            0.047571,             0.14023,                   0,            0.007921,            0.007921,            0.007921
                  23,            0.050204,             0.23897,                   0,             0.86336,             0.73626,             0.82062,             0.36045,            0.048963,             0.13935,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.050273,             0.23919,                   0,             0.87144,             0.74176,             0.83039,             0.38866,            0.047631,              0.1378,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.049731,              0.2367,                   0,             0.86807,             0.74447,             0.82973,             0.38703,            0.047418,             0.13689,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.049901,              0.2351,                   0,             0.87942,             0.74419,               0.837,             0.41654,            0.045913,             0.13742,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.049951,             0.23726,                   0,              0.8732,             0.75892,             0.84156,             0.40441,            0.046657,             0.13729,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.049616,             0.23583,                   0,             0.86428,             0.73824,             0.82456,             0.38606,            0.047631,             0.13919,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.049586,              0.2354,                   0,             0.87987,             0.76325,             0.84846,             0.42384,            0.045349,             0.13659,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.049739,             0.23654,                   0,             0.87467,             0.74748,             0.83518,             0.41863,            0.045954,             0.13845,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.049239,             0.23386,                   0,             0.87818,              0.7601,             0.84447,             0.41521,            0.045678,             0.13716,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.049387,             0.23468,                   0,             0.87694,             0.75514,             0.84175,             0.40315,             0.04613,             0.13649,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.049429,             0.23776,                   0,             0.87482,             0.75802,             0.84324,             0.41533,            0.045814,             0.13614,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.049018,             0.23374,                   0,             0.88436,             0.76199,             0.84989,             0.43019,            0.045125,              0.1361,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.049192,             0.23864,                   0,              0.8824,             0.76717,             0.84967,             0.42624,             0.04522,             0.13701,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.049171,             0.23452,                   0,             0.88528,             0.74458,             0.83614,               0.423,            0.045739,             0.13763,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.049147,             0.23562,                   0,             0.86536,             0.75334,              0.8332,             0.39759,            0.047222,             0.13735,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.049083,             0.23298,                   0,             0.87263,             0.75485,             0.83994,             0.41246,            0.046125,             0.13706,                   0,            0.006337,            0.006337,            0.006337
                  39,               0.049,             0.23636,                   0,             0.88619,             0.76955,             0.85242,             0.42865,             0.04506,             0.13536,                   0,            0.006238,            0.006238,            0.006238
                  40,            0.049235,              0.2357,                   0,             0.86684,             0.74839,             0.82976,              0.3861,             0.04739,             0.13784,                   0,            0.006139,            0.006139,            0.006139
                  41,             0.04889,             0.23345,                   0,             0.88025,             0.76317,             0.84717,             0.41759,            0.045367,             0.13607,                   0,             0.00604,             0.00604,             0.00604
                  42,            0.048905,             0.23363,                   0,             0.87943,             0.76218,             0.84657,             0.41436,            0.045704,             0.13581,                   0,            0.005941,            0.005941,            0.005941
                  43,            0.048982,             0.23692,                   0,             0.87868,             0.75464,             0.84105,             0.40649,            0.046075,             0.13698,                   0,            0.005842,            0.005842,            0.005842
                  44,            0.048866,             0.23321,                   0,             0.88333,             0.76891,             0.85352,             0.43133,            0.044669,             0.13527,                   0,            0.005743,            0.005743,            0.005743
                  45,            0.048754,             0.23306,                   0,              0.8758,             0.73538,              0.8272,             0.39183,            0.047324,             0.13895,                   0,            0.005644,            0.005644,            0.005644
                  46,            0.048758,             0.23404,                   0,             0.87369,             0.76113,             0.84439,             0.40769,             0.04609,             0.13621,                   0,            0.005545,            0.005545,            0.005545
                  47,             0.04891,             0.23312,                   0,             0.87829,             0.76445,             0.84708,             0.41663,             0.04576,             0.13659,                   0,            0.005446,            0.005446,            0.005446
                  48,            0.048839,             0.23814,                   0,             0.85827,             0.75322,             0.82869,             0.38437,            0.047799,             0.13874,                   0,            0.005347,            0.005347,            0.005347
                  49,            0.048627,             0.23324,                   0,             0.88081,             0.75286,             0.84201,              0.4012,            0.046274,             0.13635,                   0,            0.005248,            0.005248,            0.005248
                  50,            0.048468,             0.23276,                   0,             0.88165,             0.76734,             0.85108,             0.42921,             0.04483,             0.13558,                   0,            0.005149,            0.005149,            0.005149
                  51,            0.048563,             0.23295,                   0,             0.87732,             0.76792,             0.84846,             0.41666,            0.045522,             0.13606,                   0,             0.00505,             0.00505,             0.00505
                  52,            0.048577,             0.23377,                   0,             0.87762,             0.76614,             0.84659,             0.40074,            0.046318,             0.13558,                   0,            0.004951,            0.004951,            0.004951
                  53,            0.048433,             0.23342,                   0,              0.8744,             0.75942,             0.84069,             0.40207,             0.04631,             0.13601,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.048484,             0.23357,                   0,             0.87132,              0.7517,             0.83582,             0.39235,            0.046899,              0.1368,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.048313,             0.23044,                   0,             0.87872,             0.77019,                0.85,              0.4144,            0.045606,              0.1358,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.048504,             0.23254,                   0,             0.87848,             0.76403,             0.84694,             0.41951,             0.04553,             0.13589,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.048309,             0.23126,                   0,             0.87707,             0.75919,             0.84255,             0.39546,            0.046611,             0.13595,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.048306,             0.23393,                   0,             0.88117,             0.76614,              0.8487,             0.41556,            0.045517,             0.13587,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.048372,             0.23447,                   0,             0.88043,             0.76181,             0.84763,               0.422,            0.045266,             0.13517,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.048492,             0.23432,                   0,             0.87801,             0.75642,             0.84248,             0.41096,            0.045649,             0.13691,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.047904,             0.22939,                   0,             0.88094,             0.75976,             0.84548,             0.41403,            0.045594,              0.1361,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.048132,             0.23073,                   0,             0.87682,             0.76786,             0.84812,              0.4212,             0.04519,             0.13626,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.048068,             0.23129,                   0,             0.87847,             0.75329,             0.83978,             0.40065,            0.046042,             0.13731,                   0,            0.003862,            0.003862,            0.003862
                  64,             0.04814,             0.23183,                   0,             0.88509,             0.76355,             0.85066,             0.41648,            0.045338,             0.13585,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.048076,             0.23114,                   0,             0.87898,             0.76107,             0.84608,              0.4148,            0.045537,             0.13578,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.047786,             0.22966,                   0,             0.87274,             0.76025,             0.84328,             0.40486,            0.045757,             0.13652,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.047882,             0.23056,                   0,             0.88172,             0.76586,             0.84933,             0.41337,            0.045328,             0.13571,                   0,            0.003466,            0.003466,            0.003466
                  68,            0.048065,             0.23239,                   0,             0.87988,             0.76821,             0.84881,             0.40567,            0.045996,             0.13533,                   0,            0.003367,            0.003367,            0.003367
                  69,             0.04787,             0.23067,                   0,             0.88355,             0.76233,             0.84858,             0.42114,            0.044821,             0.13621,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.048135,             0.23367,                   0,             0.88092,             0.76646,             0.84897,             0.41676,            0.045148,             0.13568,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.047886,             0.23256,                   0,             0.87972,             0.75634,             0.84407,             0.41717,            0.045359,               0.137,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.047645,             0.22715,                   0,             0.88181,             0.76732,             0.85087,             0.42217,            0.045034,             0.13552,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.047814,             0.22829,                   0,             0.88204,             0.76375,             0.84813,              0.4111,            0.045696,             0.13559,                   0,            0.002872,            0.002872,            0.002872
                  74,            0.047732,             0.23114,                   0,             0.87842,             0.76973,             0.85077,             0.41352,            0.045537,             0.13537,                   0,            0.002773,            0.002773,            0.002773
                  75,             0.04797,             0.23396,                   0,             0.87896,              0.7667,             0.84915,             0.41152,            0.045584,             0.13582,                   0,            0.002674,            0.002674,            0.002674
                  76,            0.047741,             0.23061,                   0,             0.88384,             0.77536,             0.85643,             0.42364,            0.044704,             0.13457,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.047979,             0.23417,                   0,              0.8822,             0.76334,             0.84702,             0.41136,            0.045647,             0.13568,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.047534,             0.23221,                   0,             0.88099,             0.76806,             0.85064,              0.4124,            0.045438,             0.13536,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.047829,             0.23204,                   0,             0.88331,             0.76641,             0.85134,             0.42484,            0.044768,              0.1355,                   0,            0.002278,            0.002278,            0.002278
                  80,             0.04753,              0.2316,                   0,             0.88055,             0.76445,             0.84785,             0.41168,            0.045534,             0.13603,                   0,            0.002179,            0.002179,            0.002179
                  81,              0.0477,             0.23077,                   0,             0.87887,             0.76578,             0.84945,             0.41392,            0.045448,             0.13535,                   0,             0.00208,             0.00208,             0.00208
                  82,             0.04755,             0.23047,                   0,             0.88154,             0.76715,             0.85013,             0.41794,             0.04508,             0.13543,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.047833,             0.23205,                   0,             0.88338,             0.76727,             0.85113,             0.41622,            0.045316,             0.13522,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.047621,             0.22949,                   0,              0.8815,             0.76997,             0.85229,             0.42055,            0.045006,             0.13509,                   0,            0.001783,            0.001783,            0.001783
                  85,             0.04768,             0.23053,                   0,             0.87932,             0.76912,             0.85144,             0.41619,            0.045175,             0.13534,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.047265,             0.22899,                   0,             0.88074,              0.7702,             0.85176,             0.42076,             0.04503,             0.13525,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.047566,             0.22963,                   0,              0.8823,              0.7662,             0.84954,              0.4191,            0.045157,             0.13527,                   0,            0.001486,            0.001486,            0.001486
                  88,            0.047418,             0.22852,                   0,              0.8827,             0.76526,             0.84915,             0.41458,            0.045284,             0.13556,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.047489,             0.22999,                   0,             0.87847,              0.7617,             0.84506,             0.40897,            0.045699,             0.13604,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.047454,             0.23004,                   0,             0.88096,             0.76114,             0.84625,             0.41345,            0.045397,             0.13605,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.047447,             0.23067,                   0,             0.88549,              0.7739,             0.85554,             0.42414,            0.044686,             0.13455,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.047363,             0.22948,                   0,             0.88177,             0.77009,             0.85195,             0.42137,            0.044904,             0.13509,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.047257,             0.22648,                   0,             0.88127,             0.77191,             0.85137,             0.41723,            0.045158,             0.13519,                   0,            0.000892,            0.000892,            0.000892
                  94,             0.04729,             0.22929,                   0,             0.87987,             0.76962,             0.85054,             0.41496,            0.045322,             0.13532,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.047486,              0.2324,                   0,             0.88003,             0.76934,             0.85065,             0.41741,            0.045202,             0.13503,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.047385,             0.22984,                   0,             0.88322,             0.76844,             0.85093,             0.41879,            0.045044,             0.13524,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.047543,             0.23349,                   0,             0.88014,             0.77077,             0.85168,             0.41373,             0.04533,             0.13495,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.047292,              0.2313,                   0,              0.8817,             0.76872,             0.85082,             0.41768,            0.045124,             0.13519,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.047354,             0.22982,                   0,              0.8815,             0.76772,             0.85029,             0.41853,            0.045032,             0.13514,                   0,            0.000298,            0.000298,            0.000298
